title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Towards automated circuit discovery for mechanistic interpretability,"A Conmy, A Mavor-Parker, A Lynch…",2023,738,"… is a step possible to automate. We introduce Automatic Circuit DisCovery (ACDC), a novel … results of studying how well existing methods recover circuits in transformers. We find that i) …",jX0ZtuYU26UJ,"A Conmy, A Mavor-Parker, A Lynch… - Advances in …, 2023 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2023/hash/34e1dbe95d34d7ebaf99b9bcaeb5b2be-Abstract-Conference.html,unknown,unknown
Efficient automated circuit discovery in transformers using contextual decomposition,"A Hsu, G Zhou, Y Cherapanamjeri…",2025,17,"… -T outperforms ACDC and EAP by better recovering the manual circuits with an average of 97% ROC AUC under low runtimes. In addition, we provide evidence that faithfulness of CD-T …",1IaPi_h-A_kJ,"A Hsu, G Zhou, Y Cherapanamjeri… - International …, 2025 - proceedings.iclr.cc",[],https://proceedings.iclr.cc/paper_files/paper/2025/hash/916ee60e315531d6b3954af8a8dc3437-Abstract-Conference.html,unknown,unknown
The persistent vulnerability of aligned AI systems,A Lynch,2026,1,"… is a step possible to automate. We introduce Automatic Circuit DisCovery (ACDC), a novel … results of studying how well existing methods recover circuits in transformers. We find that i) …",O0EkTwUQRw8J,"A Lynch - arXiv preprint arXiv:2604.00324, 2026 - arxiv.org",[],https://arxiv.org/abs/2604.00324,unknown,unknown
PAHQ: Accelerating Automated Circuit Discovery through Mixed-Precision Inference Optimization,"X Wang, S Yang, L Wang, L Zhang, H Xie, L Hu…",2025,4,"… on directly applying quantization to ACDC to determine whether it can improve ACDC's efficiency. … For a transformer layer l with H attention heads and a target head h* ∈ 11,2,...,Hl, we …",5otvH7kmeN0J,"X Wang, S Yang, L Wang, L Zhang, H Xie, L Hu… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2510.23264,unknown,unknown
Sparse autoencoders enable scalable and reliable circuit identification in language models,"C O'Neill, T Bui",2024,18,"… of heads, d is the transformer hidden dimension and n is the … to circuit discovery in language models: automatic circuit … Our circuit-identification method outperforms ACDC, HISP, and SP …",mMgOOq3a66EJ,"C O'Neill, T Bui - arXiv preprint arXiv:2405.12522, 2024 - arxiv.org",[],https://arxiv.org/abs/2405.12522,unknown,unknown
Finding transformer circuits with edge pruning,"A Bhaskar, A Wettig, D Friedman…",2024,55,"… Recent work has automated the task of discovering circuits. … In this paper, we frame automated circuit discovery as an … We also compare Edge Pruning to ACDC in terms of circuit …",h3jqHB7fpLwJ,"A Bhaskar, A Wettig, D Friedman… - Advances in Neural …, 2024 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2024/hash/20fdaf67581e6d7157376d1ed584040a-Abstract-Conference.html?utm_source=chatgpt.com,unknown,unknown
Interpbench: Semi-synthetic transformers for evaluating mechanistic interpretability techniques,"R Gupta, I Arcuschin, T Kwa…",2024,19,"… • We demonstrate the benchmark's usefulness by evaluating five circuit discovery techniques: Automatic Circuit DisCovery (ACDC, 12), Subnetwork Probing (SP, 35) on nodes and …",UznO2t5sUpQJ,"R Gupta, I Arcuschin, T Kwa… - Advances in Neural …, 2024 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2024/hash/a8f7d43ae092d9a5295775eb17f3f4f7-Abstract-Datasets_and_Benchmarks_Track.html,unknown,unknown
Attribution patching outperforms automated circuit discovery,"A Syed, C Rager, A Conmy",2024,181,"… Transformer Circuits. Our work builds upon the framework for understanding … Therefore, we suggest future circuit discovery experiments to run EAP first and then apply ACDC. …",UvyTIbOERrYJ,"A Syed, C Rager, A Conmy - Proceedings of the 7th BlackboxNLP …, 2024 - aclanthology.org",[],https://aclanthology.org/2024.blackboxnlp-1.25/,unknown,unknown
Transformer circuit evaluation metrics are not robust,"J Miller, B Chughtai, W Saunders",2024,25,"… ablating transformer circuits. Next, we test these variations on existing circuits discovered by … We run ACDC using both libraries at a range of thresholds for a tiny 2-layer model with only …",wL0zFqRnq4MJ,"J Miller, B Chughtai, W Saunders - First Conference on Language …, 2024 - openreview.net",[],https://openreview.net/forum?id=zSf8PJyQb2,unknown,unknown
A practical review of mechanistic interpretability for transformer-based language models,"D Rai, Y Zhou, S Feng, A Saparov, Z Yao",2024,204,"… of circuits) and computational pathways (ie, edges of circuits) when one tries to discover circuits in … However, ACDC is not scalable to large LMs as it requires independent inferences for …",kt8hpis-_RUJ,"D Rai, Y Zhou, S Feng, A Saparov, Z Yao - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2407.02646,unknown,unknown
"Self-Ablating Transformers: More Interpretability, Less Sparsity","J Ferrao, L Mikaelson, K Pepper…",2025,1,"… interpretability metrics like ACDC circuit size and … Automatic Circuit Discovery (ACDC) algorithm, introduced by Conmy et al. (2023), to identify the Indirect Object Identification (IOI) circuit …",u2X4lDdbUJsJ,"J Ferrao, L Mikaelson, K Pepper… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2505.00509,unknown,unknown
Transformer circuit faithfulness metrics are not robust,"J Miller, B Chughtai, W Saunders",2024,8,"… ablating transformer circuits. Next, we test these variations on existing circuits discovered by … We run ACDC using both libraries at a range of thresholds for a tiny 2-layer model with only …",Ph5OmopudO4J,"J Miller, B Chughtai, W Saunders - arXiv preprint arXiv:2407.08734, 2024 - arxiv.org",[],https://arxiv.org/abs/2407.08734,unknown,unknown
Knowledge circuits in pretrained transformers,"Y Yao, N Zhang, Z Xi, M Wang, Z Xu…",2024,98,… Automated Circuit Discovery [32] toolkit to build a circuit as an initiative of our analysis and leverage transformer … We utilize ACDC2 to construct circuits that encode specific knowledge …,QxK2Cd6VoeYJ,"Y Yao, N Zhang, Z Xi, M Wang, Z Xu… - Advances in neural …, 2024 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2024/hash/d6df31b1be98e04be48af8bedb95b499-Abstract-Conference.html,unknown,unknown
"Rethinking circuit completeness in language models: And, or, and adder gates","H Chen, J Zhu, X Yang…",2026,3,"… transformer toy model to implement the basic AND, OR, and ADDER gates, and validate the performance of these circuit discovery … of circuits obtained using three methods—ACDC, EAP…",DFCic4rfRKQJ,"H Chen, J Zhu, X Yang… - Advances in Neural …, 2026 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2025/hash/dd37fdb24a4e1cfa3ed5c247217a7394-Abstract-Conference.html,unknown,unknown
Identifying and adapting transformer-components responsible for gender bias in an English language model,"A Chintam, R Beloch, W Zuidema…",2023,34,"… ACDC, we show only the attention heads from the full circuit. … other methods than (automatic) circuit discovery. One key … prohibitive than methods such as automatic circuit discovery. …",ZeYuC40GPwgJ,"A Chintam, R Beloch, W Zuidema… - Proceedings of the …, 2023 - aclanthology.org",[],https://aclanthology.org/2023.blackboxnlp-1.29/,unknown,unknown
