title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Circuit tracing in vision-language models: Understanding the internal mechanisms of multimodal thinking,"J Yang, T Xiong, S Qian…",2026,4,"… During the forward pass of the transformers, we only activate the … circuit tracing on the same prompt This is the planet with images of mars and earth. We then conduct activation patching …",5jP2df10eH8J,"J Yang, T Xiong, S Qian… - Proceedings of the …, 2026 - openaccess.thecvf.com",[],https://openaccess.thecvf.com/content/CVPR2026F/html/Yang_Circuit_Tracing_in_Vision-Language_Models_Understanding_the_Internal_Mechanisms_of_CVPRF_2026_paper.html,unknown,unknown
Active Circuit Discovery: A Multi-Action POMDP Agent for Causal Feature Identification in Transformer Attribution Graphs,"S Sathish, M Ahsan, M Latifi",2026,0,,QKzt403oSX8J,"S Sathish, M Ahsan, M Latifi - Symmetry, 2026 - mdpi.com",[],https://www.mdpi.com/2073-8994/18/6/1043,unknown,unknown
Markovian Circuit Tracing for Transformer State Dynamics,X Abdullah,2026,0,"… MCT asks whether a chosen activation-derived state abstraction carries usable … transformer benchmark where automata extraction, predictive-state ideas, probing, activation patching, …",o1LEoGwq4U4J,"X Abdullah - arXiv preprint arXiv:2605.20824, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.20824,unknown,unknown
Cracking the Circuits: Mechanistic Interpretability in Large Language Models,"D Muhammad, M Salman, M Ali…",2025,0,… Activation Patching: We apply layer-wise activation patching … through targeted activation patching suggests that specific … links transformer attention heads to syntactic role tracking and …,NNOhg28DCmYJ,"D Muhammad, M Salman, M Ali… - 2025 27th …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11348249/,unknown,unknown
Activation Patching: A Causal Tool for Tracing Representations,"L Bennett, H Caldwell",2025,0,"… In this paper, we explore activation patching as a framework for tracing semantic and syntactic processing in transformerbased language models. We demonstrate its utility in circuit …",VKr_h32PXCkJ,"L Bennett, H Caldwell - 2025 - researchgate.net",[],https://www.researchgate.net/profile/Jummy-Johnson/publication/392626611_Activation_Patching_A_Causal_Tool_for_Tracing_Representations/links/684b358643aad60b4c16a7a5/Activation-Patching-A-Causal-Tool-for-Tracing-Representations.pdf,unknown,unknown
Discovering Modular Representations of Arithmetic and Logic in Transformer Layers,"NS Vardhan, PM Chakravarty",2025,0,"… -specific subcircuits within transformer layers, with a focus on GPT-style architectures. Using a combination of neuron-level probing, circuit tracing, and activation patching, we identify …",wB3mZvZYGJ0J,"NS Vardhan, PM Chakravarty - 2025 - researchgate.net",[],https://www.researchgate.net/profile/Jummy-Johnson/publication/392556516_Discovering_Modular_Representations_of_Arithmetic_and_Logic_in_Transformer_Layers/links/684866d06b5a287c304a56e7/Discovering-Modular-Representations-of-Arithmetic-and-Logic-in-Transformer-Layers.pdf,unknown,unknown
Transformer circuit evaluation metrics are not robust,"J Miller, B Chughtai, W Saunders",2024,25,"… work we consider activation patching to be a specific type of ablation, and use the term … For instance, Activation patching has previously also been called Causal Tracing or Interchange …",wL0zFqRnq4MJ,"J Miller, B Chughtai, W Saunders - First Conference on Language …, 2024 - openreview.net",[],https://openreview.net/forum?id=zSf8PJyQb2,unknown,unknown
Attribution patching outperforms automated circuit discovery,"A Syed, C Rager, A Conmy",2024,181,… Transformer Circuits. Our work … activation patching as another point of reference for performance comparisons. We applied repeated activation patching by running the same circuit dis…,UvyTIbOERrYJ,"A Syed, C Rager, A Conmy - Proceedings of the 7th BlackboxNLP …, 2024 - aclanthology.org",[],https://aclanthology.org/2024.blackboxnlp-1.25/,unknown,unknown
Transformer circuit faithfulness metrics are not robust,"J Miller, B Chughtai, W Saunders",2024,8,"… work we consider activation patching to be a specific type of ablation, and use the term … For instance, Activation patching has previously also been called Causal Tracing or Interchange …",Ph5OmopudO4J,"J Miller, B Chughtai, W Saunders - arXiv preprint arXiv:2407.08734, 2024 - arxiv.org",[],https://arxiv.org/abs/2407.08734,unknown,unknown
Explaining the Explainer: Understanding the Inner Workings of Transformer-based Symbolic Regression Models,"A van Breda, E Acar",2026,0,"… into circuit-level analyses that trace causal pathways through transformers (Olah et al.… specific datasets for activation patching, the PATCHES algorithm itself, and the well-defined …",BZsuUeoBzHoJ,"A van Breda, E Acar - arXiv preprint arXiv:2602.03506, 2026 - arxiv.org",[],https://arxiv.org/abs/2602.03506,unknown,unknown
Towards best practices of activation patching in language models: Metrics and methods,"F Zhang, N Nanda",2024,252,… In several settings of localization and circuit discovery in lan… tokens allows activation patching to trace different information … -trained 4layer attention-only Transformer.We do not aim to …,cAjpdCrg0VsJ,"F Zhang, N Nanda - International Conference on Learning …, 2024 - proceedings.iclr.cc",[],https://proceedings.iclr.cc/paper_files/paper/2024/hash/06a52a54c8ee03cd86771136bc91eb1f-Abstract-Conference.html,unknown,unknown
Circuit-tracer: A new library for finding feature circuits,"M Hanna, M Piotrowski, J Lindsey…",2025,14,"… and what caused each feature to activate. In practice, feature … implements constrained patching and direct-effects patching. … mechanisms in autoregressive transformer language models. …",t1sG2OsfGxwJ,"M Hanna, M Piotrowski, J Lindsey… - Proceedings of the 8th …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.blackboxnlp-1.14/,unknown,unknown
RelP: Faithful and Efficient Circuit Discovery in Language Models via Relevance Patching,"FR Jafari, O Eberle, A Khakzar, N Nanda",2025,9,"… approximates activation patching than standard attribution patching, … 38], with variants such as causal tracing, which perturbs … For additional rules specifically tailored to transformers, we …",jGBCkTtJUWIJ,"FR Jafari, O Eberle, A Khakzar, N Nanda - arXiv preprint arXiv:2508.21258, 2025 - arxiv.org",[],https://arxiv.org/abs/2508.21258,unknown,unknown
Continuous-Depth Field Theory for Transformer Patching and Mechanistic Interpretability,"DN Olivieri, AFP Rodríguez",2026,0,"… uses activation patching, causal tracing, path patching, and steering directions to reveal behaviorally meaningful directions in Transformer activation … through internal circuits: structured …",VpZ8CaXDaz4J,"DN Olivieri, AFP Rodríguez - arXiv preprint arXiv:2605.25225, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.25225,unknown,unknown
Finding transformer circuits with edge pruning,"A Bhaskar, A Wettig, D Friedman…",2024,55,"… EAP, on the other hand, uses gradient-based linear approximations of activation patching to estimate the importance of all edges simultaneously. While fast, these first-order …",h3jqHB7fpLwJ,"A Bhaskar, A Wettig, D Friedman… - Advances in Neural …, 2024 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2024/hash/20fdaf67581e6d7157376d1ed584040a-Abstract-Conference.html?utm_source=chatgpt.com,unknown,unknown
