title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Prisma: An open source toolkit for mechanistic interpretability in vision and video,"S Joseph, P Suresh, L Hufe, E Stevinson…",2025,20,"… accelerate vision mechanistic interpretability research, … library to facilitate deeper investigations into vision transformer internals, accelerating the field of vision mechanistic interpretability…",FmjmyEpDGhwJ,"S Joseph, P Suresh, L Hufe, E Stevinson… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2504.19475,unknown,unknown
Towards automated circuit discovery for mechanistic interpretability,"A Conmy, A Mavor-Parker, A Lynch…",2023,738,"… Mechanistic interpretability attempts to explain and predict … In the related work section we discuss the mechanistic interpretability … , as in this paper we focus on post-hoc interpretability. …",jX0ZtuYU26UJ,"A Conmy, A Mavor-Parker, A Lynch… - Advances in …, 2023 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2023/hash/34e1dbe95d34d7ebaf99b9bcaeb5b2be-Abstract-Conference.html,unknown,unknown
MechIR: A Mechanistic Interpretability Framework for Information Retrieval,"A Parry, C Chen, C Eickhoff, S MacAvaney",2025,6,"… We provide an introduction to mechanistic interpretability using common IR architectures, aiming to provide intuitions behind this research area while grounding this introduction in …",Qd-IBjSAqOgJ,"A Parry, C Chen, C Eickhoff, S MacAvaney - European Conference on …, 2025 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-88720-8_16,unknown,unknown
Interpbench: Semi-synthetic transformers for evaluating mechanistic interpretability techniques,"R Gupta, I Arcuschin, T Kwa…",2024,19,"… Mechanistic interpretability methods aim to identify the algorithm a … code can be found at the GitHub repository (MIT license), and license for the models at HuggingFace repository …",UznO2t5sUpQJ,"R Gupta, I Arcuschin, T Kwa… - Advances in Neural …, 2024 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2024/hash/a8f7d43ae092d9a5295775eb17f3f4f7-Abstract-Datasets_and_Benchmarks_Track.html,unknown,unknown
Tracr: Compiled transformers as a laboratory for interpretability,"D Lindner, J Kramár, S Farquhar…",2023,133,"… mechanism. We can then compare this mechanism to explanations an interpretability tool produces. … In this paper, we focus on interpretability in the sense of giving a faithful (Jacovi and …",Y9WA1BJ0Rg0J,"D Lindner, J Kramár, S Farquhar… - Advances in …, 2023 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2023/hash/771155abaae744e08576f1f3b4b7ac0d-Abstract-Conference.html,unknown,unknown
"From mechanistic interpretability to mechanistic biology: Training, evaluating, and interpreting sparse autoencoders on protein language models","E Adams, L Bai, M Lee, Y Yu, M AlQuraishi",2025,67,… mechanistic interpretability points to a path forward. Sparse autoencoders (SAEs) have successfully extracted interpretable … To assess the interpretability of linear probes trained on SAE …,EENPy6r8Sg0J,"E Adams, L Bai, M Lee, Y Yu, M AlQuraishi - bioRxiv, 2025 - pmc.ncbi.nlm.nih.gov",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC11839115/,unknown,unknown
The story is not the science: Execution-grounded evaluation of mechanistic interpretability research,"X Bai, A Baumgartner, H Sun, A Holtzman…",2026,4,"… To prevent this, we enforce strict file access restrictions and integrate with GitHub for version … be extended to other domains beyond mechanistic interpretability. Figure 2 illustrates the …",Ws9U1GVsjVQJ,"X Bai, A Baumgartner, H Sun, A Holtzman… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2602.18458,unknown,unknown
Mib: A mechanistic interpretability benchmark,"A Mueller, A Geiger, S Wiegreffe, D Arad…",2025,49,… This paper presents work whose goal is to standardize the evaluation of mechanistic interpretability methods. Advancements in interpretability methods will advance current approaches …,WXdUwHwB47IJ,"A Mueller, A Geiger, S Wiegreffe, D Arad… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2504.13151,unknown,unknown
Find: A function description benchmark for evaluating interpretability methods,"S Schwettmann, T Shaham…",2023,37,"… To date, most mechanistic descriptions of trained networks have involved small … GitHub. All scripts for reproducing evaluations reported in the paper are available in the GitHub repository…",n6fepZagrtAJ,"S Schwettmann, T Shaham… - Advances in …, 2023 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2023/hash/ef0164c1112f56246224af540857348f-Abstract-Datasets_and_Benchmarks.html,unknown,unknown
Mechanistic interpretability for transformer-based time series classification,"M Kalnāre, S Kitharidis, T Bäck, N van Stein",2025,3,… This paper addresses this gap by adapting various Mechanistic Interpretability techniques; … code and extended experimental results are available at our public GitHub repository [7]. …,t7dNOMGSv_IJ,"M Kalnāre, S Kitharidis, T Bäck, N van Stein - … Joint Conference on …, 2025 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-032-15638-9_15,unknown,unknown
nnterp: A Standardized Interface for Mechanistic Interpretability of Transformers,C Dumas,2025,1,… Mechanistic interpretability research requires reliable tools for analyzing transformer internals across diverse architectures. Current approaches face a fundamental tradeoff: custom …,DSi2iUw9m94J,"C Dumas - arXiv preprint arXiv:2511.14465, 2025 - arxiv.org",[],https://arxiv.org/abs/2511.14465,unknown,unknown
"Dividing and conquering a blackbox to a mixture of interpretable models: route, interpret, repeat","S Ghosh, K Yu, F Arabshahi…",2023,19,… Our approach falls into the category of concept-based interpretable models. Such methods provide a mechanistically interpretable prediction that is a function of human-understandable …,Xg51IXuKXasJ,"S Ghosh, K Yu, F Arabshahi… - … of machine learning …, 2023 - pmc.ncbi.nlm.nih.gov",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC10500943/,unknown,unknown
Make Mechanistic Interpretability Auditable: A Call to Develop Guidelines via Continuous Collaborative Reviewing,"M Lan, NF Oozeer, C Bandi, P Quirke…",2026,0,"… , etc.) uploaded in experiment repositories with collaborative features similar to GitHub. These repositories host hypotheses, evidence, and claims, along with links to code and papers.…",9HpR5TpnJfEJ,"M Lan, NF Oozeer, C Bandi, P Quirke… - Proceedings of the …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.acl-long.159/,unknown,unknown
Bridging the black box: a survey on mechanistic interpretability in AI,"S Somvanshi, MM Islam, A Rafe, AG Tusti…",2026,17,"… We organize mechanistic interpretability across three … , outlining how mechanistic interpretability bridges theoretical … for understanding how mechanistic interpretability can support …",VSbbPKEBjWQJ,"S Somvanshi, MM Islam, A Rafe, AG Tusti… - ACM Computing …, 2026 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3787104,unknown,unknown
Toward a theory of causation for interpreting neural code models,"DN Palacio, A Velasco, N Cooper…",2024,35,"… To this end, this paper introduces docode, a post hoc interpretability … This mechanism includes a formalism to articulate and answer causal queries. We hypothesize that this mechanism …",4FcONoNQuDMJ,"DN Palacio, A Velasco, N Cooper… - IEEE Transactions …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10477672/,unknown,unknown
ESM2_AMP: an interpretable framework for protein–protein interactions prediction and biological mechanism discovery,"Y Sun, R Wang, Z Luo, L Tan, J Liu, R Li…",2025,10,"… are further incorporate as comparison with the attention mechanism [26], achieving multi-… leverages its robust interpretability capabilities to provide mechanistic insights into protein–…",CeBRzBZSB3EJ,"Y Sun, R Wang, Z Luo, L Tan, J Liu, R Li… - Briefings in …, 2025 - academic.oup.com",[],https://academic.oup.com/bib/article-abstract/26/4/bbaf434/8242608,unknown,unknown
