title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Sparse autoencoders find highly interpretable features in language models,"H Cunningham, A Ewart, L Riggs, R Huben…",2023,1221,"… , using sparse autoencoders to reconstruct the internal activations of a language model. These autoencoders learn sets of sparsely activating features that are more interpretable and …",RGUL-gVnBCwJ,"H Cunningham, A Ewart, L Riggs, R Huben… - arXiv preprint arXiv …, 2023 - arxiv.org",[],https://arxiv.org/abs/2309.08600,unknown,unknown
Towards principled evaluations of sparse autoencoders for interpretability and control,"A Makelov, G Lange, N Nanda",2025,78,… We find that SAEs capture interpretable features for the IOI … -K SAEs are competitive with supervised features in terms of … illustrating feature splitting and the role of feature magnitudes …,2LrGUwjoXLMJ,"A Makelov, G Lange, N Nanda - International Conference on …, 2025 - proceedings.iclr.cc",[],https://proceedings.iclr.cc/paper_files/paper/2025/hash/53356aebeea8ffd40a8ac3bb66243162-Abstract-Conference.html,unknown,unknown
Sparse autoencoders find highly interpretable features in language models,"R Huben, H Cunningham, L Smith…",2024,160,"… , using sparse autoencoders to reconstruct the internal activations of a language model. These autoencoders learn sets of sparsely activating features that are more interpretable and …",x28RmAl8Qk8J,"R Huben, H Cunningham, L Smith… - International …, 2024 - proceedings.iclr.cc",[],https://proceedings.iclr.cc/paper_files/paper/2024/hash/1fa1ab11f4bd5f94b2ec20e794dbfa3b-Abstract-Conference.html,unknown,unknown
Sparse autoencoder features for classifications and transferability,"J Gallifant, S Chen, K Sasse, H Aerts…",2025,16,… Binarized SAE features demonstrate robustness across different … Sparse Autoencoders (SAEs) have recently emerged as a … limitations by providing more interpretable feature sets (…,_hyGxdc2l0YJ,"J Gallifant, S Chen, K Sasse, H Aerts… - Proceedings of the …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.emnlp-main.1521/,unknown,unknown
Sparse autoencoders uncover biologically interpretable features in protein language model representations,"O Gujral, M Bafna, E Alm, B Berger",2025,47,"… biologically meaningful, interpretable features from both protein-… interpretability protocols uncover many sparse features that are … We show that the sparse features are more interpretable …",J3QiBqytqoIJ,"O Gujral, M Bafna, E Alm, B Berger - … of the National Academy of Sciences, 2025 - pnas.org",[],https://www.pnas.org/doi/abs/10.1073/pnas.2506316122,unknown,unknown
Saebench: A comprehensive benchmark for sparse autoencoders in language model interpretability,"A Karvonen, C Rager, J Lin, C Tigges, J Bloom…",2025,92,"… We characterize SAEs by concept detection, interpretability, feature disentanglement and reconstruction. Covering all aspects, SAEBench enables measuring progress with new training …",_cQK0W8PpSAJ,"A Karvonen, C Rager, J Lin, C Tigges, J Bloom… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2503.09532,unknown,unknown
Interpreting attention layer outputs with sparse autoencoders,"C Kissane, R Krzyzanowski, JI Bloom, A Conmy…",2024,62,"… on literature using Sparse Autoencoders (SAEs) to extract interpretable feature dictionaries … shown promise in disentangling activations into interpretable features, attention layers have …",huCgvX8mUfsJ,"C Kissane, R Krzyzanowski, JI Bloom, A Conmy… - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2406.17759,unknown,unknown
Interpretable and steerable concept bottleneck sparse autoencoders,"A Kulkarni, TW Weng…",2026,3,"… Visual exploration of feature relationships in sparse autoencoders with curated concepts. In NeurIPSW, 2025. 2 [52] Minglai Yang, Xinyu Guo, Mihai Surdeanu, and Liangming Pan. …",e4ljLwRh5kIJ,"A Kulkarni, TW Weng… - Proceedings of the …, 2026 - openaccess.thecvf.com",[],https://openaccess.thecvf.com/content/CVPR2026/html/Kulkarni_Interpretable_and_Steerable_Concept_Bottleneck_Sparse_Autoencoders_CVPR_2026_paper.html,unknown,unknown
Interpretable reward model via sparse autoencoder,"S Zhang, W Shi, S Li, J Liao, T Liang, H Cai…",2026,8,"… Sparse Autoencoder-Enhanced Reward Model (SARM). Specifically, we first train a Sparse Autoencoder … layer of an LLM to obtain sparse, interpretable features. Subsequently, we inte- …",BKZ4bapAXh4J,"S Zhang, W Shi, S Li, J Liao, T Liang, H Cai… - Proceedings of the AAAI …, 2026 - ojs.aaai.org",[],https://ojs.aaai.org/index.php/AAAI/article/view/40783,unknown,unknown
Revising and Falsifying Sparse Autoencoder Feature Explanations,"G Ma, S Pfrommer, S Sojoudi",2026,3,… This work addresses key challenges in the automatic interpretability of Sparse Autoencoder (SAE) features in large language models. We introduce a method for sourcing semantically …,gD6NBwJ7vdMJ,"G Ma, S Pfrommer, S Sojoudi - Advances in Neural …, 2026 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2025/hash/5b6ce2529a79862a2d8ac57ac0e01d90-Abstract-Conference.html,unknown,unknown
