title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Representation engineering for large-language models: Survey and research challenges,"L Bartoszcze, S Munshi, B Sukidi, J Yen, Z Yang…",2025,32,"… , Representation Control, aims to use this knowledge to steer … They provide a way to probe learned representations in neural networks … of representation engineering in LLM fine-tuning. …",EHEKsA3DiCMJ,"L Bartoszcze, S Munshi, B Sukidi, J Yen, Z Yang… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2502.17601,unknown,unknown
Steer2adapt: Dynamically composing steering vectors elicits efficient adaptation of llms,"P Han, X Xu, K Xuan, P Song, S Ouyang, R Tian…",2026,6,"… , most existing steering approaches identify and steer the … enables efficient LLM adaptation by composing steering vectors … control vectors via representation engineering. For each basis …",uyM2QuQujs0J,"P Han, X Xu, K Xuan, P Song, S Ouyang, R Tian… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2602.07276,unknown,unknown
Steering knowledge selection behaviours in LLMs via sae-based representation engineering,"Y Zhao, A Devoto, G Hong, X Du…",2025,17,… Suppose we want to control the LLM to use its parametric knowledge and ignore the conflict … the features that steer the contextual knowledge usage and add the features that steer the …,NRqUmhpCUYIJ,"Y Zhao, A Devoto, G Hong, X Du… - Proceedings of the …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.naacl-long.264/,unknown,unknown
Angular steering: Behavior control via rotation in activation space,"MH Vu, T Nguyen",2026,29,"… representation capacity. We also introduce an adaptive variant of Angular Steering, namely Adaptive Angular Steering, … assess the impact of our method on overall LLM performance. …",rtymvZGmdMwJ,"MH Vu, T Nguyen - … Neural Information Processing Systems, 2026 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2025/hash/b0223cad0e73b793f31eb6cc41cefceb-Abstract-Conference.html,unknown,unknown
Learning to steer: Input-dependent steering for multimodal llms,"J Parekh, P Khayatan, M Shukor…",2026,9,"… Steering LLMs A major focus in LLM steering has been contrastive methods, where steering … We currently steer residual stream representations at a single layer through a linear shift. …",KhmCRB0B3PsJ,"J Parekh, P Khayatan, M Shukor… - … in Neural …, 2026 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2025/hash/ea491e2d1c46686b8db5cd11154f5d2c-Abstract-Conference.html,unknown,unknown
Steering large language models using conceptors: Improving addition-based activation engineering,"J Postmus, S Abreu",2024,30,"… [6], and prompt engineering [7], have been proposed to steer LLM outputs toward desired … neural representation of f at layer l. Using this, we can generate the layer-specific steering …",P_i0C_gxbRIJ,"J Postmus, S Abreu - arXiv preprint arXiv:2410.16314, 2024 - arxiv.org",[],https://arxiv.org/abs/2410.16314,unknown,unknown
Interpretable LLM Guardrails via Sparse Representation Steering,"Z He, Z Wang, H Xu, H Lin, W Zhang, Z Chu",2025,1,"… , representation engineering, which steer model behavior toward desired attributes by injecting carefully designed steering vectors into intermediate LLM's representations … within neural …",USBVQmCWlG4J,"Z He, Z Wang, H Xu, H Lin, W Zhang, Z Chu - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2503.16851,unknown,unknown
Improving llm reasoning through interpretable role-playing steering,"A Wang, D Shu, Y Wang, Y Ma…",2025,16,"… Our approach extracts latent representations from role-play … patterns, and constructs a steering vector that can be injected … steering shift as a weighted combination of the top-k steering …",mnDgICFb_X0J,"A Wang, D Shu, Y Wang, Y Ma… - arXiv preprint arXiv …, 2025 - aclanthology.org",[],https://aclanthology.org/anthology-files/pdf/findings/2025.findings-emnlp.39.pdf,unknown,unknown
Where to steer: Input-dependent layer selection for steering improves llm alignment,"S Gadgil, C Lin, SI Lee",2026,1,"… Two representative approaches for obtaining steering … CAA as a representative static approach for extracting steering vectors. … is a shallow neural network, training is efficient in terms of …",7WYFIkSJO3wJ,"S Gadgil, C Lin, SI Lee - arXiv preprint arXiv:2604.03867, 2026 - arxiv.org",[],https://arxiv.org/abs/2604.03867,unknown,unknown
SteeringSafety: A Systematic Safety Evaluation Framework of Representation Steering in LLMs,"V Siu, N Crispino, D Park, NW Henry, Z Wang…",2025,7,"… steering methods across seven safety perspectives spanning 17 datasets. While prior work highlights general capabilities of representation steering… in LLM alignment, activation steering…",zahI6j5Q37oJ,"V Siu, N Crispino, D Park, NW Henry, Z Wang… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2509.13450,unknown,unknown
Steering Risk Preferences in Large Language Models by Aligning Behavioral and Neural Representations,"JQ Zhu, H Yan, TL Griffiths",2025,0,"… steering vectors." These modifications to internal neural activations, a form of representation engineering… the resulting steering vectors successfully and reliably modulate LLM outputs in …",PZXhvfTI5N4J,"JQ Zhu, H Yan, TL Griffiths - arXiv preprint arXiv:2505.11615, 2025 - arxiv.org",[],https://arxiv.org/abs/2505.11615,unknown,unknown
Steering Large Language Models using Conceptors: An Alternative to Point-Based Activation Engineering,J Postmus,2024,0,,YUCofhTamzEJ,J Postmus - 2024,[],,unknown,unknown
Steer2adapt: Dynamically composing steering vectors elicits efficient adaptation of llms,"P Han, X Xu, K Xuan, P Song, S Ouyang, R Tian…",2026,6,"… , most existing steering approaches identify and steer the … enables efficient LLM adaptation by composing steering vectors … control vectors via representation engineering. For each basis …",uyM2QuQujs0J,"P Han, X Xu, K Xuan, P Song, S Ouyang, R Tian… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2602.07276,unknown,unknown
SteeringSafety: A Systematic Safety Evaluation Framework of Representation Steering in LLMs,"V Siu, N Crispino, D Park, NW Henry, Z Wang…",2025,7,"… steering methods across seven safety perspectives spanning 17 datasets. While prior work highlights general capabilities of representation steering… in LLM alignment, activation steering…",zahI6j5Q37oJ,"V Siu, N Crispino, D Park, NW Henry, Z Wang… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2509.13450,unknown,unknown
Activation Steering in Neural Theorem Provers,S Kirtania,2025,3,"… dissecting these representations, … steering vectors across different mathematical domains. Our findings suggest that activation steering could become a powerful tool for enhancing LLM-…",jRtjK529D8EJ,"S Kirtania - ICLR 2025 Workshop on Foundation Models in the …, 2025 - openreview.net",[],https://openreview.net/forum?id=0XiIEbwkQf,unknown,unknown
